11 1.6053480e+02 0.00199545 3.7180570e-05 -1.8028400e+02 -6.4218260e+01 -9.4532510e+00
11 1.4499500e+02 0.00181239 4.4762520e-05 -1.4397110e+02 3.3870930e+02 -1.6036910e+01
11 1.5505290e+02 0.00193485 -1.6558190e-05 -1.3163080e+02 1.6354310e+02 1.4316650e+01
11 1.6022940e+02 0.00178583 -1.3296680e-05 -1.3062460e+02 3.1705100e+02 -8.8688790e+00
11 1.5096570e+02 0.00233031 -4.4896330e-05 -3.6449580e+01 -8.9384610e+02 1.7341930e+01
11 1.5936900e+02 0.00181147 -2.7768700e-05 -1.4946740e+01 3.4445240e+02 1.1776480e+01
11 1.6039310e+02 0.00222397 6.2081610e-05 -8.9956960e+00 -3.1369660e+02 -5.1403680e+00
11 1.6217740e+02 0.00172291 -2.8517200e-05 4.5910210e+00 5.7221780e+02 4.3023340e-01
11 1.5091810e+02 0.00169511 -6.8014620e-06 4.3779640e+01 7.4423110e+02 6.0788440e+00
11 1.3923360e+02 0.00221442 2.7116220e-06 1.8330150e+02 -3.5738170e+02 1.3376310e+01
11 1.6117130e+02 0.00186476 2.1091240e-05 4.4306240e+02 1.8805010e+02 1.1167540e+01
11 1.5357050e+02 0.00226031 2.7667630e-05 4.5834660e+02 -3.0946280e+02 -7.6707540e+00
11 1.4732580e+02 0.00182421 -4.7062280e-05 5.7622140e+02 1.7217630e+02 -1.5615350e+01
11 1.3840330e+02 0.00231742 -1.2673100e-05 -3.8861620e+02 -1.2218190e+03 7.9110320e+00
11 1.5925290e+02 0.00220648 -3.1133880e-05 -3.5737630e+02 -4.1415280e+02 1.7546200e+01
11 1.4944840e+02 0.00188941 -4.1480940e-05 -2.1157730e+02 1.8809480e+02 1.1618240e+01
11 1.5564180e+02 0.00173524 -3.8250980e-06 -1.5994530e+02 4.1787080e+02 1.2452850e+01
11 1.6164650e+02 0.00196035 -5.3328370e-05 -1.0811440e+02 2.5519280e+01 2.3278010e+00
